"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.693099731126172	1	1	"Churn"	"Yes"	0.1
2	0.673598630723149	1	1	"Churn"	"Yes"	0.1
3	0.700848303393214	1	1	"Churn"	"Yes"	0.1
4	0.694034090909091	1	1	"Churn"	"Yes"	0.1
5	0.665542450163922	1	1	"Churn"	"Yes"	0.1
6	0.669601057810285	1	1	"Churn"	"Yes"	0.1
7	0.69727717882874	1	1	"Churn"	"Yes"	0.1
8	0.693099731126172	1	1	"Churn"	"Yes"	0.1
9	0.663485221674877	1	1	"Churn"	"Yes"	0.1
10	0.676983408748115	1	1	"Churn"	"Yes"	0.1
11	0.680713489409142	1	1	"Churn"	"Yes"	0.1
12	0.682739020598523	1	1	"Churn"	"Yes"	0.1
13	0.679170974252941	1	1	"Churn"	"Yes"	0.1
14	0.680266331905676	1	1	"Churn"	"Yes"	0.1
15	0.659790032886415	1	1	"Churn"	"Yes"	0.1
16	0.659453511828351	1	1	"Churn"	"Yes"	0.1
17	0.677873456893942	1	1	"Churn"	"Yes"	0.1
18	0.706889264581572	1	1	"Churn"	"Yes"	0.1
19	0.657684630738523	1	1	"Churn"	"Yes"	0.1
20	0.654266467065868	1	1	"Churn"	"Yes"	0.1
21	0.669316165539731	1	1	"Churn"	"Yes"	0.1
22	0.649159588788164	1	1	"Churn"	"Yes"	0.1
23	0.702047529918893	1	1	"Churn"	"Yes"	0.1
24	0.678764830404175	1	1	"Churn"	"Yes"	0.1
25	0.67968643023415	1	1	"Churn"	"Yes"	0.1
26	0.679059610912597	1	1	"Churn"	"Yes"	0.1
27	0.704526055580805	1	1	"Churn"	"Yes"	0.1
28	0.661268939393939	1	1	"Churn"	"Yes"	0.1
29	0.711427145708583	1	1	"Churn"	"Yes"	0.1
30	0.684997750787224	1	1	"Churn"	"Yes"	0.1
1	0.64520697167756	2	2	"Churn"	"Yes"	0.1
2	0.841582720438728	2	2	"Churn"	"Yes"	0.1
3	0.707863010643439	2	2	"Churn"	"Yes"	0.1
4	0.852545502505935	2	2	"Churn"	"Yes"	0.1
5	0.646480044345898	2	2	"Churn"	"Yes"	0.1
6	0.680953033000137	2	2	"Churn"	"Yes"	0.1
7	0.646474958879247	2	2	"Churn"	"Yes"	0.1
8	0.681345357608757	2	2	"Churn"	"Yes"	0.1
9	0.683493102642039	2	2	"Churn"	"Yes"	0.1
10	0.724605406646387	2	2	"Churn"	"Yes"	0.1
11	0.678305888223553	2	2	"Churn"	"Yes"	0.1
12	0.666285137596613	2	2	"Churn"	"Yes"	0.1
13	0.713216145833333	2	2	"Churn"	"Yes"	0.1
14	0.661026220136218	2	2	"Churn"	"Yes"	0.1
15	0.694196078431373	2	2	"Churn"	"Yes"	0.1
16	0.683972410568155	2	2	"Churn"	"Yes"	0.1
17	0.677679436656115	2	2	"Churn"	"Yes"	0.1
18	0.669452463850719	2	2	"Churn"	"Yes"	0.1
19	0.678963762734035	2	2	"Churn"	"Yes"	0.1
20	0.69629055284793	2	2	"Churn"	"Yes"	0.1
21	0.720459885867741	2	2	"Churn"	"Yes"	0.1
22	0.691611504515599	2	2	"Churn"	"Yes"	0.1
23	0.682567813715355	2	2	"Churn"	"Yes"	0.1
24	0.673320385556035	2	2	"Churn"	"Yes"	0.1
25	0.681471729490022	2	2	"Churn"	"Yes"	0.1
26	0.695721299976619	2	2	"Churn"	"Yes"	0.1
27	0.700372954018858	2	2	"Churn"	"Yes"	0.1
28	0.694027565084227	2	2	"Churn"	"Yes"	0.1
29	0.679807591759908	2	2	"Churn"	"Yes"	0.1
30	0.681381598793363	2	2	"Churn"	"Yes"	0.1
1	0.820982286442636	3	3	"Churn"	"Yes"	0.1
2	0.851490768463074	3	3	"Churn"	"Yes"	0.1
3	0.861689121756487	3	3	"Churn"	"Yes"	0.1
4	0.894861358718199	3	3	"Churn"	"Yes"	0.1
5	0.865709281573201	3	3	"Churn"	"Yes"	0.1
6	0.691713596138375	2	3	"Churn"	"Yes"	0.1
7	0.844134706439394	3	3	"Churn"	"Yes"	0.1
8	0.858610152555567	3	3	"Churn"	"Yes"	0.1
9	0.847830525778458	3	3	"Churn"	"Yes"	0.1
10	0.682435129740519	2	3	"Churn"	"Yes"	0.1
11	0.692672180377098	2	3	"Churn"	"Yes"	0.1
12	0.855746495251631	3	3	"Churn"	"Yes"	0.1
13	0.8591796875	3	3	"Churn"	"Yes"	0.1
14	0.871476709410463	3	3	"Churn"	"Yes"	0.1
15	0.650653281269001	3	3	"Churn"	"Yes"	0.1
16	0.657369532428356	2	3	"Churn"	"Yes"	0.1
17	0.669892326563991	2	3	"Churn"	"Yes"	0.1
18	0.867173851090983	3	3	"Churn"	"Yes"	0.1
19	0.836679959064121	3	3	"Churn"	"Yes"	0.1
20	0.642673757564643	2	3	"Churn"	"Yes"	0.1
21	0.857698910136133	3	3	"Churn"	"Yes"	0.1
22	0.658188513469862	2	3	"Churn"	"Yes"	0.1
23	0.680542652027027	3	3	"Churn"	"Yes"	0.1
24	0.846934376949691	3	3	"Churn"	"Yes"	0.1
25	0.666167664670659	2	3	"Churn"	"Yes"	0.1
26	0.70675718512257	2	3	"Churn"	"Yes"	0.1
27	0.877877283844051	3	3	"Churn"	"Yes"	0.1
28	0.676866262199947	2	3	"Churn"	"Yes"	0.1
29	0.641809954751131	3	3	"Churn"	"Yes"	0.1
30	0.907687883435583	3	3	"Churn"	"Yes"	0.1
1	0.893234515495915	4	4	"Churn"	"Yes"	0.1
2	0.915342777637238	4	4	"Churn"	"Yes"	0.1
3	0.860962906504065	4	4	"Churn"	"Yes"	0.1
4	0.864301108374384	4	4	"Churn"	"Yes"	0.1
5	0.918243538670812	4	4	"Churn"	"Yes"	0.1
6	0.87889865915274	4	4	"Churn"	"Yes"	0.1
7	0.884411954915004	4	4	"Churn"	"Yes"	0.1
8	0.919607117629251	4	4	"Churn"	"Yes"	0.1
9	0.87181368054282	4	4	"Churn"	"Yes"	0.1
10	0.887455062184221	4	4	"Churn"	"Yes"	0.1
11	0.872673903411608	4	4	"Churn"	"Yes"	0.1
12	0.920642549962054	4	4	"Churn"	"Yes"	0.1
13	0.886003016591252	4	4	"Churn"	"Yes"	0.1
14	0.918977936588963	4	4	"Churn"	"Yes"	0.1
15	0.902628459875898	4	4	"Churn"	"Yes"	0.1
16	0.868870669433418	4	4	"Churn"	"Yes"	0.1
17	0.88871237458194	4	4	"Churn"	"Yes"	0.1
18	0.909227368077276	4	4	"Churn"	"Yes"	0.1
19	0.890688516260163	4	4	"Churn"	"Yes"	0.1
20	0.916080339321357	4	4	"Churn"	"Yes"	0.1
21	0.858883113097551	4	4	"Churn"	"Yes"	0.1
22	0.89811161387632	4	4	"Churn"	"Yes"	0.1
23	0.895263938778697	4	4	"Churn"	"Yes"	0.1
24	0.839357537405481	4	4	"Churn"	"Yes"	0.1
25	0.826743575699484	4	4	"Churn"	"Yes"	0.1
26	0.887078220858896	4	4	"Churn"	"Yes"	0.1
27	0.895017834942545	4	4	"Churn"	"Yes"	0.1
28	0.881441930618401	4	4	"Churn"	"Yes"	0.1
29	0.86555917405765	4	4	"Churn"	"Yes"	0.1
30	0.846364008078605	4	4	"Churn"	"Yes"	0.1
1	0.899136178861789	5	5	"Churn"	"Yes"	0.1
