"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
1	0.855288061170414	1	1	"Heart"	0
2	0.810202205882353	1	1	"Heart"	0
3	0.821155737084941	1	1	"Heart"	0
4	0.790643274853801	1	1	"Heart"	0
5	0.827704526177809	1	1	"Heart"	0
6	0.805286411906054	1	1	"Heart"	0
7	0.820384615384615	1	1	"Heart"	0
8	0.849371578379212	1	1	"Heart"	0
9	0.811111111111111	1	1	"Heart"	0
10	0.814679735582403	1	1	"Heart"	0
11	0.815296645943664	1	1	"Heart"	0
12	0.811551305403764	1	1	"Heart"	0
13	0.871923076923077	1	1	"Heart"	0
14	0.839238095238095	1	1	"Heart"	0
15	0.834892787524366	1	1	"Heart"	0
16	0.812629003898784	1	1	"Heart"	0
17	0.843711843711844	1	1	"Heart"	0
18	0.864761904761905	1	1	"Heart"	0
19	0.756204044117647	1	1	"Heart"	0
20	0.781709558823529	1	1	"Heart"	0
21	0.77046561168594	1	1	"Heart"	0
22	0.819960489324519	1	1	"Heart"	0
23	0.775428571428571	1	1	"Heart"	0
24	0.814071879036547	1	1	"Heart"	0
25	0.78126902008521	1	1	"Heart"	0
26	0.785227272727273	1	1	"Heart"	0
27	0.792040831990176	1	1	"Heart"	0
28	0.821972856168019	1	1	"Heart"	0
29	0.800844806007509	1	1	"Heart"	0
30	0.778648421374513	1	1	"Heart"	0
1	0.807618166396792	1	2	"Heart"	0
2	0.810375951652147	2	2	"Heart"	0
3	0.831265133171913	2	2	"Heart"	0
4	0.817155067155067	1	2	"Heart"	0
5	0.804227941176471	1	2	"Heart"	0
6	0.807001020328075	1	2	"Heart"	0
7	0.842135012919897	2	2	"Heart"	0
8	0.843864889705882	2	2	"Heart"	0
9	0.83400511588249	2	2	"Heart"	0
10	0.846001221001221	1	2	"Heart"	0
11	0.782240375160729	1	2	"Heart"	0
12	0.794344764933	1	2	"Heart"	0
13	0.856510889292196	2	2	"Heart"	0
14	0.829854669140383	2	2	"Heart"	0
15	0.813256658595642	1	2	"Heart"	0
16	0.821974057870903	1	2	"Heart"	0
17	0.84469696969697	2	2	"Heart"	0
18	0.79131162507608	1	2	"Heart"	0
19	0.782042225884938	1	2	"Heart"	0
20	0.78517316017316	1	2	"Heart"	0
21	0.83561279538029	1	2	"Heart"	0
22	0.814300290401067	1	2	"Heart"	0
23	0.890761889862328	2	2	"Heart"	0
24	0.816313350049388	1	2	"Heart"	0
25	0.817445698058178	1	2	"Heart"	0
26	0.786782661782662	2	2	"Heart"	0
27	0.831320235456005	2	2	"Heart"	0
28	0.834384615384615	2	2	"Heart"	0
29	0.830594527556003	2	2	"Heart"	0
30	0.815353168294345	1	2	"Heart"	0
1	0.847918765987133	3	3	"Heart"	0
2	0.921852442823494	3	3	"Heart"	0
3	0.876803118908382	3	3	"Heart"	0
4	0.894183495953407	3	3	"Heart"	0
5	0.871286376415166	3	3	"Heart"	0
6	0.886564211807669	3	3	"Heart"	0
7	0.852914389799636	3	3	"Heart"	0
8	0.829212454212454	3	3	"Heart"	0
9	0.861364522417154	3	3	"Heart"	0
10	0.861142857142857	3	3	"Heart"	0
11	0.88752276867031	3	3	"Heart"	0
12	0.874278992106861	3	3	"Heart"	0
13	0.876060606060606	3	3	"Heart"	0
14	0.864735958485959	3	3	"Heart"	0
15	0.881010626098922	3	3	"Heart"	0
16	0.904423076923077	3	3	"Heart"	0
17	0.884603750756201	3	3	"Heart"	0
18	0.865692007797271	3	3	"Heart"	0
19	0.861819727891156	3	3	"Heart"	0
20	0.868961538461538	3	3	"Heart"	0
21	0.872266666666667	3	3	"Heart"	0
22	0.863713667285096	3	3	"Heart"	0
23	0.819158595641647	3	3	"Heart"	0
24	0.887909709338281	3	3	"Heart"	0
25	0.886076923076923	3	3	"Heart"	0
26	0.841370859356471	3	3	"Heart"	0
27	0.837150127226463	3	3	"Heart"	0
28	0.871072124756335	3	3	"Heart"	0
29	0.855085714285714	3	3	"Heart"	0
30	0.885644768856448	3	3	"Heart"	0
1	0.847285238959468	4	4	"Heart"	0
2	0.877618939565842	4	4	"Heart"	0
3	0.870955433455433	4	4	"Heart"	0
4	0.862923076923077	4	4	"Heart"	0
5	0.89781746031746	4	4	"Heart"	0
6	0.866973524041388	4	4	"Heart"	0
7	0.873752380952381	4	4	"Heart"	0
8	0.879875990895534	4	4	"Heart"	0
9	0.844551282051282	4	4	"Heart"	0
10	0.905905330882353	4	4	"Heart"	0
11	0.899155508216677	4	4	"Heart"	0
12	0.892903274827141	4	4	"Heart"	0
13	0.868618107556161	4	4	"Heart"	0
14	0.904193473374157	4	4	"Heart"	0
15	0.91059449456396	4	4	"Heart"	0
16	0.900810335601254	4	4	"Heart"	0
17	0.891199448529412	4	4	"Heart"	0
18	0.905470176506391	4	4	"Heart"	0
19	0.910317029687621	4	4	"Heart"	0
20	0.860255006257822	4	4	"Heart"	0
21	0.908844275637547	4	4	"Heart"	0
22	0.89686945793816	4	4	"Heart"	0
23	0.907006658595642	4	4	"Heart"	0
24	0.905511811023622	4	4	"Heart"	0
25	0.865243394655159	4	4	"Heart"	0
26	0.890409887359199	4	4	"Heart"	0
27	0.811100068802079	4	4	"Heart"	0
28	0.889040680024287	4	4	"Heart"	0
29	0.892625231910946	4	4	"Heart"	0
30	0.895253555967842	4	4	"Heart"	0
1	0.855273199023199	5	5	"Heart"	0
2	0.896291208791209	5	5	"Heart"	0
3	0.873303510501175	5	5	"Heart"	0
4	0.818192307692308	5	5	"Heart"	0
5	0.858070500927644	5	5	"Heart"	0
6	0.885663327261688	5	5	"Heart"	0
7	0.834620334620335	5	5	"Heart"	0
8	0.791461988304094	5	5	"Heart"	0
9	0.86408247108947	5	5	"Heart"	0
10	0.866575591985428	5	5	"Heart"	0
11	0.880246629901961	5	5	"Heart"	0
12	0.830923076923077	5	5	"Heart"	0
13	0.881527018822101	5	5	"Heart"	0
14	0.871900826446281	5	5	"Heart"	0
15	0.873606237816764	5	5	"Heart"	0
16	0.911022727272727	5	5	"Heart"	0
17	0.817207964266788	5	5	"Heart"	0
18	0.905978969990022	5	5	"Heart"	0
19	0.857885482761257	5	5	"Heart"	0
20	0.890862173649059	5	5	"Heart"	0
21	0.888364417837133	5	5	"Heart"	0
22	0.833862794039785	5	5	"Heart"	0
23	0.846513605442177	5	5	"Heart"	0
24	0.869597325870647	5	5	"Heart"	0
25	0.872631578947368	5	5	"Heart"	0
26	0.861256743408556	5	5	"Heart"	0
27	0.898466833541927	5	5	"Heart"	0
28	0.844078540507112	5	5	"Heart"	0
29	0.87128904736067	5	5	"Heart"	0
30	0.857625297413462	5	5	"Heart"	0
1	0.826370460232012	6	6	"Heart"	0
2	0.843203993646471	6	6	"Heart"	0
3	0.88036171574904	6	6	"Heart"	0
4	0.857613357843137	6	6	"Heart"	0
5	0.875340496368039	6	6	"Heart"	0
6	0.842971428571429	6	6	"Heart"	0
7	0.854042322300597	6	6	"Heart"	0
8	0.82901534428252	6	6	"Heart"	0
9	0.858092350746269	6	6	"Heart"	0
10	0.80438112745098	6	6	"Heart"	0
11	0.833525212986415	6	6	"Heart"	0
12	0.894391317547055	6	6	"Heart"	0
13	0.85538752362949	6	6	"Heart"	0
14	0.807301539161422	6	6	"Heart"	0
15	0.865837067861716	6	6	"Heart"	0
16	0.853460972017673	6	6	"Heart"	0
17	0.792113061317529	6	6	"Heart"	0
18	0.829002355444115	6	6	"Heart"	0
19	0.853331815421979	6	6	"Heart"	0
20	0.85396378575776	6	6	"Heart"	0
21	0.853392599346554	6	6	"Heart"	0
22	0.86158781694496	6	6	"Heart"	0
23	0.881164045285313	6	6	"Heart"	0
24	0.862662411670846	6	6	"Heart"	0
25	0.798995739500913	6	6	"Heart"	0
26	0.803149606299213	6	6	"Heart"	0
27	0.856135183319123	6	6	"Heart"	0
28	0.839799749687109	6	6	"Heart"	0
29	0.852676205617382	6	6	"Heart"	0
30	0.817954355902646	6	6	"Heart"	0
1	0.821417729204614	7	7	"Heart"	0
2	0.795902014652015	7	7	"Heart"	0
3	0.785909920876446	7	7	"Heart"	0
4	0.797882797731569	7	7	"Heart"	0
5	0.815104766290583	7	7	"Heart"	0
